epoch;acc;loss;val_acc;val_loss
0;0.3865;1.3453270511627198;0.4959999995231628;1.12484077835083
1;0.5995;0.8927776446342468;0.63;0.9358662977218628
2;0.7215;0.6842198991775512;0.6000000002384186;0.980841495513916
3;0.7695;0.6089602947235108;0.7859999995231628;0.5495778198242187
4;0.796;0.5499820442199707;0.7980000004768372;0.5444399976730346
5;0.845;0.4625040113925934;0.8160000004768372;0.48638000249862673
6;0.8775;0.3376432831287384;0.8299999995231628;0.4161777653694153
7;0.907;0.24736825686693192;0.8640000004768371;0.39160723352432253
8;0.909;0.24473187351226808;0.8360000009536743;0.4563561418056488
9;0.9185;0.22334798285365104;0.8440000004768372;0.43675745391845705
10;0.941;0.18613448566198348;0.8600000004768371;0.5370637912750245
11;0.9555;0.14380690503120422;0.8300000009536743;0.5539729990959168
12;0.946;0.16285941191017628;0.8320000009536743;0.6465662546157837
13;0.964;0.10641248051822186;0.8639999990463256;0.5478052406311035
14;0.974;0.08150113505346235;0.8820000009536744;0.4353611426353455
15;0.9685;0.11678464645333587;0.8220000004768372;0.8459917964935303
16;0.9605;0.1471805747449398;0.84;0.5930354347229004
